"Table 6. Poverty Incidence Among Individuals Residing in Rural Areas, by Region: 2015, 2018, and 2021"

"Geolocation";"Estimate (%) 2015";"Estimate (%) 2018";"Estimate (%) 2021"
"PHILIPPINES ¹ ²";34.0;24.5;25.7
"..NCR";-;-;-
"..CAR ¹";30.5;15.1;13.5
"..Region I ¹ ²";19.7;10.6;15.1
"..Region II";19.2;17.0;16.2
"..Region III ¹ ²";16.3;9.5;12.8
"..Region IV-A ¹ ²";19.8;11.5;14.4
"..MIMAROPA ¹ ²";30.0;16.3;24.4
"..Region V ¹";44.1;30.2;32.3
"..Region VI ¹ ²";25.7;17.4;20.9
"..Region VII ¹ ²";36.4;24.9;36.1
"..Region VIII ¹";43.4;32.2;31.8
"..Region IX ¹";52.1;43.4;41.3
"..Region X ¹ ²";54.0;28.8;32.9
"..Region XI ¹";42.0;28.3;25.8
"..Region XII excluding Cotabato City ¹";48.2;32.4;32.7
"..Caraga ¹";44.2;35.4;38.2
"..BARMM including Cotabato City ² ?";63.3;62.5;37.5
